Feature ID	Taxon	Confidence
e3a5ef1fb0fe8f9bf38eb5bcfbada5ed	d__Eukaryota	0.8000586555767161
141673922dfd92c6bbfd84302fd6b6e4	d__Eukaryota	0.7506962313418102
eaf97ffea9f1ee0bd75848ee22789911	d__Eukaryota	0.917722271988382
3a5c523bd4c8db4875a423e05de68b0b	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	0.9999999377706691
dd6539a31becc8928246510b5619edf2	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	0.9999999968700877
76c8275a143d78d749af8edbeb396219	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__	0.9999999999490967
1f7e926d110168c9394f2cc19468f7ec	d__Eukaryota	0.924335611931764
f0e389c5e6518c31c78353d8b747abd8	d__Eukaryota	0.9390241085917148
079278c43d3b4c5bbbd8471f31c8d485	d__Eukaryota	0.7423584545850281
b6f79782219b8c130843bae7e0a91d5b	d__Eukaryota	0.7071932606111863
e848ffb100b62a9ab9a91c230db7ec86	d__Eukaryota	0.7820657196825311
f8b8f53332aa3e6c0b9f066eb5cf71d8	d__Eukaryota	0.8436292455464928
bef7189f2874b64d2b9712987c4cd269	d__Eukaryota	0.8257501307500319
289c10333366b98e7f12026edd05f88f	d__Eukaryota	0.7758242545841069
d4415290d611ab94c431f235271b9d8d	d__Eukaryota	0.8551857094575043
9f5f1156d885a1764a61328dfe0feffe	d__Eukaryota	0.8351095902795111
1c574a21fac9361e363e9808beae7178	d__Eukaryota	0.8790020450628058
0e94ce2a3222035be1733ffb0cb988d4	d__Eukaryota	0.8208896696765002
4f30c6c7deff67769186ab0fc4ad0741	d__Eukaryota	0.9072619198972384
fd6b46d8315c29521f079751b9f68e91	Unassigned	0.975859352685927
7308be85b7cab4eadbf9acada0388bdc	d__Eukaryota	0.8273794417757885
2c421fdb408e17ea132c95f13f4c52ca	Unassigned	0.32452293192831505
a08141ccf3e81ca584ba0964170b41ae	d__Eukaryota	0.736095957148345
1b9d2ff5e494c7561ae4f7cdcb82e051	d__Eukaryota	0.8812347219412453
e507c3b11e84be07f51471af07612c93	d__Eukaryota	0.8532976565439951
87d7514c4afeec0183f71c285d8c4d16	d__Eukaryota	0.832678090454372
4258f193ee72c535d47b420c6e656d3f	d__Eukaryota	0.9252735136800956
c22bd788788be3298004ae8db70de06c	d__Bacteria	0.8503647877999294
2c0cdbd1e291938c7d495f3ca6037a3d	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x;s__	0.9973740929173057
1057a435db12f2c1394fadf43d185b58	Unassigned	0.7151908251369602
71aa63f09b273e361b03c73167569949	d__Eukaryota	0.8431321852474072
b3010215b300b3cab783c268f9f50f1a	d__Eukaryota	0.8337913500669114
b90a5b4b2761ec9a365065f3e7583614	d__Eukaryota	0.9425660481260818
36b10ca6f1fcf3c70fc73ac6839814dc	d__Eukaryota	0.8637825741411803
f0cdfe81fa31631ed4f9ca18086c4d8a	Unassigned	0.49766096809009774
e375e897a3564e25469688fb7523beca	Unassigned	0.39456126303726324
b7e61284e163b4070c9edacb4d4cbbb1	Unassigned	0.3446057525747046
7e6b62b3cc4ea2078fa35770319f8f6a	Unassigned	0.36098982128530355
d0a215017903212ec45bb188bc4f4f46	Unassigned	0.308065050598038
32a6e390f9b10bdfbb35c79efb160065	d__Eukaryota	0.8629918511052983
86e575ef64335ffc17cc1d66898a9bfc	d__Eukaryota	0.7678976321086259
93defb8d165af830e0863db6dbcf6fee	d__Eukaryota	0.791268303802351
de4e7d4946da08619d42eae517cfbcbd	d__Eukaryota	0.7225693031472977
87c010e8b0c45751c613df21dd92de3c	d__Eukaryota	0.7545281358644367
059e8f3e1ee5a96bb18586326d82d36e	d__Eukaryota	0.7293084184019694
a8b2d1295515dc0f638e9fdd4e7ea743	Unassigned	0.6624698170062601
16a50b69d319c637126eefde5e3dde06	d__Eukaryota	0.9786415245463194
3dd7b8800c0bb4ccfe8eb297052a2661	d__Eukaryota	0.854680016778875
